" Boys who fight!
",,"Big strong handsome boys take their shirts off and sweat and fight eachother! Oh boy! Oh yeah, there's a girl in here too (Helena BonhamCarter) but she kind of acts tough like a guy too. Lots of posing andposturing in this film, it's very 'cool'. I found it hollow and couldcare less. Clockwork Orange said it better and was better acted 40 yearsago. Rent that one instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Irresponsible filmmaking
",,"The fact that so many people liked this movie disturbed me. Is violence really the only way to escape societal constraints? Using consumerism as a straw man, the movie says that all males are, inherently, prone to violence and that society is denying them the right to exercise this innateness. After glorifying violence for 2 1/2 hours, the filmmakers decide to say ""but really violence is not quite as good as we might have led you to believe."" Most males will come out of this movie saying "" cool man. we should start a fight club so that we can be real men"" and that is irresponsible filmmaking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1st rule of fight club: don't see fight club
",,"Brainless movie tries to make a point, but comes across only as a cinematic failure..... A total waste of time, which is sad, given the admittedly quality performances yet asinine script. The first third is promising, but ultimately this mess of a picture only goes downhill with each brainless sequence that follows.After this picture ended I wanted to erase it from my mind.... reviews on this site are typical of the below 20 group who like quick editing and dumbed down plots that have a ""secret"" message.Overall rating: BOMB REMEMBER: the first rule of fight club is Don't SEE FIGHT CLUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Unintelligent and uninteresting,
",,"This is easily one of the worst films ever created.  The beginning, I must admit, is different and quite intriguing.  I mean, who would have ever thought of a guy who is addicted to 12 step programs.  But the minute that Brad Pitt's face hits the screen we are soon forced into mind numbing, senseless, violent trash.  I think that violence must be used for a purpose, such in Reserviour Dogs or Raging Bull.  In these movies we see violence as a tool to push the desperation and hopelessness of the main characters.  In Fight Club we see violence as a tool to drive along a bunch of nonsense, possibly the only reason I could see for all of the fights was for the male characters to bring out their pent up Freudian fantasies for violence.  If you want an immature movie where men beat the c**p out of each other for no reason then go ahead, bon appetite.  But if you want a movie that has any intelligence or sense of reality then please do your self a favor and spend your money elsewhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Save your money
",,"This is possibly the worst movie I've ever seen.  I hear it's supposed to appeal to my generation (I'm 22), since we've been brought up on a diet of senseless violence and MTV.  Now, I don't automatically think there's anything wrong with violence in movies, as long as there's some justification for it, and I like watching MTV (when they actually play videos), but I found this film terrible.  Up until about the middle of the movie, there might have been a chance for this movie to find itself and deliver some real social commentary (which is the only possible reason other then pure, sick voyeurism that might justify the horrific violence). Unfortunately, ""Fight Club"" then took a turn for the worse, not for the better, and delivered an even more bizarre, more violent ending.  Save your money: something--ANYTHING--on TV or at the $1.75 movie theater is better than this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" An unprecedented event
",,"I know everyone is saying that this movie is great, it has so much to say about society, the script is so good, blah blah blah. For the first time in my life, however, I was motivated actually to get up and to leave the theatre in the middle of the film. Yes, the movie has a message beyond ""fighting is good"", but it is just so in-your-face that I couldn't take any more after the first hour. It did not help that I didn't care what happened to any of the characters, even though I don't have a problem with Brad, Edward, or Helena generally. Anyone who saw this movie and came away wondering exactly what the director was trying to say must have been asleep. I don't think that a film has to be completely offensive to make a point. Of course this is only my opinion! I know there is supposedly a plot twist at the end, and whatever it was, it just could not have been worth another hour and a half of this film to get to it.By the way I have seen other ""offensive"" movies and enjoyed them, Natural Born Killers being one of them, so I am not just being a weenie about the whole thing. I liked Se7en, and I completely loved The Game, but this one just is not up to their standards. See one of these movies instead if you have never seen a Fincher film before.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What a Load of rubbish
",,A,flop,just,about,everywhere.critics,talk,as,though,its,a,classic.i,thought,it,was,the,pits.Edward,Norton,voice,drove,me,mad,i,hate,voiceovers.was,there,a,point,to,the,movie.some,weirdos,may,get,some,crazy,ideas,from,it.a,movie,this,bad,deserves,no,praise.a,case,of,the,emperors,new,clothes,if,ever,i,saw,one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Fincher is out of control.
",,"David Fincher. I think his career might have been a tragedy if he actually made some good early films. He had alot of promise but is now sucked into the world of the fanboy where he reins as their god. This world is made up of angry youth, most of whom like computers, violence, and sex, though they are underexperienced with it in actuality. No more evident is this than in Fight Club. If you need proof read one of the hundred claims that this is the pinnacle of filmmaking. Since these people are cultish and do not listen to reasonable argument, I will waste so much time as to actually give the entire argument against this film, as I see it.I think Fincher actually had a message, however he has no control over his own abilities. I think using logic his film is about the value of the individual. This is extremely ironic, since his film has inspired homogenous worshipers. The first third of the film is a damnation of the working environment. The last third is, I'm guessing, supposed to be a damnation of the second third. The second third is the escape from the working class through a violent cult. This is only the most logical explanation, for me anyway. I think many people fail to see the last third as a damnation of the second third because Fincher creates it as such a paradise juxtaposed next to the working week. Fincher is too seduced by his own tricks that he can't convey his own message, and we as viewers are left with the remnants of a very negative film with no purpose for it's violent, destructive nature and no redeeming values at all. So maybe it isn't what the film is about. Most of it's fans would gladly join up with the cult and follow Tyler into chaos. The message of the film is really quite hollow. And the way it is done is just silly. 3/10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" An unpleasant masterpiece
",,"A perfect adaptation from the book of Chuck Palahniuk by one of the best directors David Fincher.You feel uncomfortable every time you watch this film but you can´t stop watching it. Every time you find details that you missed the first time. Definetly advanced about how society its blinded with stupid consumism and nowadays with social newtworks and all the same ""things"" we still don´t need. Its a movie about real life, about decisions, about yourself, about the dreams you left behind, a wake up call. But as Palahniuk says, its also a love story.
The common error about this movie was that people thought it was a stupid fight movie, when its really a mind blower, philosophical movie.Great performances by Edward Norton and Brad Pitt, definetly a cult film that was and i think its still underrated.In Tyler we trust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Thank you
",,"10 out 10!
Great actors, great music, great atmosphere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" You need to watch this movie atleast once in life
",,This,movie,has,a,good,storyline+drama+,thriller+,deep,meaning.,So,basically,everything,that,you,want,to,see,in,a,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A helpful understanding
",spoiler,"A lot of people have this movie all wrong. Especially the ones giving it the negative reviews. This movie isn't about following in Tyler Durdens footsteps which a lot of of people on both sides think.Now I only allow myself to have one 10 star movie and one 10 star tv-show(band of brothers). This movie is my number 10. This movie starts out showing us how much of our society is brainwashed and dull. How nothing we do is fulfilling. It's takes you through the narrators life of buying useless junk that is supposed to make him feel better.Then he meets Tyler Durden. Tyler Durden in the begging is the hero of the movie. He shows people how dull and asleep they are. He forces them to follow dreams that society has made them push far down. The narrator made him because as said in the movie ""it's not till you lose everything that you are free to do anything."" And the narrator had lost everything. He was a complete loser and made a strong personality for himself that took over. Tyler was the one that woke him and many others up to the toxic society they lived in.Unless you've seen the movie many Times the next part might not be as clear but Tyler then becomes the villain/antagonist. He used his influence to cause terror. The writers try to make you understand in the end that Tyler is no longer the one to look to. It's trying to show you that we as a society follow the strongest personality and don't do things for ourselves.The movie starts out showing us that we are dull society and uses Tyler to portray a way out. To get out of consumerism and wake up follow our dreams. It then turns the movie around after the narrator wakes up. The movie then try's to tell us that we as a society need to stop following the strongest personality. It again uses Tyler Durden to portray this but in a negative light as the narrator is now the protagonist.As for the reviewers giving negative reviews for the plot holes and calling themselves ""cultured"" I've seen 80% of the top 250 and almost all of the classics out of that. This is one of the best movies I've seen at covering all of it's holes. The narrator is an insomniac and therefore cannot sleep giving Tyler plenty of time to do his work. Just because the movie isn't 25 hours long and shows you how Tyler does everything doesn't mean that you cannot use your brain to put two and two together. You have to watch this move many times to even have an understanding of it and watching it once and deciding it's not to your level is childish and shows how little you know.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Briloajt
",,This,is,my,favourite,movie,ever!,I,love,its,anti-commercialism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Very Beatiful and Immersive Film
",,When,i,first,watched,i,was,very,captivated.Because,the,script,and,the,players,were,perfect.I,recommend,watching,this,movie.Good,Watching:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" An Artwork Masterpiece
",,"The movie, Fight Club is an artwork masterpiece full of theatrical tricks and effects. It engages the watcher with nonlinear story that moves faster than the speed of a thought. It deals with modern issues of society and ages very well. It has an unbeatable plot and great acting. Fight Club has the watcher flinching constantly and it is amazing how this holds true. It is not surprising at all how this movie is still considered good 17 years later. Brad Pitt and Edward Norton fit their roles perfectly. The narrative infuses the author's voice into the movie and the character. If you enjoy great movies you will enjoy this one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" This is what great movies are all about!
",spoiler,"In the grand scheme of things, ""Fight Club"" is less about a group of people who like to fight than about how the commercialism inherent in our society drives people over the edge. The unnamed narrator (Edward Norton) joins up with soap-maker Tyler Durden (Brad Pitt) to found Project Mayhem, whose goal is to undermine everything corporate. Part of their modus operandi involves starting fistfights. But at some point, the narrator realizes that it's going too far...and he's helpless to stop the madness.""Fight Club"" was certainly one of the best movies of 1999. Not just because it was a full-scale indictment of commercialism, but also because the acting, script and direction are all top-notch. This movie is one of the best examples of a modern classic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Turn off after 30 minutes
",,"This film starts out good then it just disappoints.  It just gets stupid and stupider.  The first half hour led me to believe it was going to be good. Edward Norton attending support groups for problems and diseases he pretended to have.  Trying to get Seconal for his insomnia.  This film could have been so much better.  By the way, I do not care for Brad Pitt.  Not worth watching.  2/10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Don't watch it if you hate fighting!
",,"My husband talked me into this after time and time again saying ""I don't want to watch a movie about fighting"", I guess he thought the beginning was better than I thought it was...I guess if you get kicks out of people whose lives are completely the dumps then watch this movie.  It's only mildly amusing before the fighting if you're a mentally stable person.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What is this?
",,Never,heard,of,it?,How,do,I,edit,my,rating?,I,haven't,seen,this,movie...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Points for Creativity
",,"Coming in to this title I had high expectations because this is supposed to be one of the best films ever made. However, I couldn't agree less.While I enjoyed the style, editing and overall creativity the story left me with an empty feeling. It takes way too long to finally take off and I can't help but feel like this movie shouldn't have been any longer than around 1 hour and 30 minutes.The ending disappointed me, It felt like a 2 hour wait in line for a rollercoaster ride that never really leaves the station. After the first 30 minutes I could've already guessed it would end like this.Don't get me wrong, I get why people like this film and I understand the appeal. But, should this film be in the top 250 on iMDB and is it one of the best films ever made? I don't think so. It's scores points on creativity and originality but I've seen better films that don't get the recognition this one gets. However, I do think this is a must watch!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How I fell in love with Brad Pitt
",,"This film changed the way I watched films. This is the very first film I watched that wasn't a chick flick. I haven't looked back since.Brad Pitt was no longer a pin up that everyone swooned over, to me he became the serious actor that I was blown away by.
I've seen this countless times and I still think it's superb. Edward Norton is just so believable, relatable and several other ables I'm sure.
Meatloaf was a lovely treat to this and Helena Bonham Carter-just WOW!
One of if not my favourite film ever and I strongly suggest others to watch it too! A metaphorical genius of a movie!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Almost Perfect movie
",spoiler,"This movie is really great,it shows the ugly truth on various aspects of life such as consumerism white,collar slavery. The performance were really great and the director did fabulous job in directing the movie,the only thing which did not go well was the twist where we get to know the there is no Tyler and ending seemed a bit unconvincing,if you ignore that then this is a great movie,so many things can be learnt from this movie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Good movie
",,"I enjoyed it Edward Norton ,brad Pit, helena acting is the main attraction for the film and the climax is awesome and unbelievable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Incredible end
",,"Perfect scenario, the best creativity of all time and Incredible end.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Thought Provoking Content
",,"Interesting philosophical point of view.
Amazing contrast between capitalism and socialism.
Recommend for people who love to read the subtext in a movie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Life itself
",,"What can I say about this movie!?
19 years past and I'm still blown away by this masterpiece.
Every time I watch fight club I feel a greate amount of joy along with inner rage.
Everyone should watch fight club, it's like a little school, you can learn a lot, and it's actually kinda life itself!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" I can't talk about this movie
",spoiler,Billy,la,bufanda,was,here,mf,lol,lmao,xD,rekt,mf,nerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" SOOOOO good
",,"It has some cliched moments, even for its time, but FIGHT CLUB is an awesome film. I've watched it about 100 times in the past 20 years. It never gets old. It's hard to discuss this film without giving things away but suffice it to say, it's a great thriller with some intriguing twists.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" I could quite happily die than watch this rubbish again!
",,"Have you ever had flu or food poisening and have been laid up in bed with a fever? you know the feeling, you loose all track of time , you are not sure if you have slept and your dreams drift in to real life. Have you ever been so drunk that you wish you were dead, the feeling is the worst in the world isnt it.? Watching the Fight Club is all these feelings rolled into one. i can honestly say this is nearly the worst film i have ever seen. i wont try to go into what the film is about because i could not tell you. This film last 16 hours ..or so it feels. Looking at the box it says 133 minutes. i would rather have spent 133 minutes sticking pins under my finger nails. What complete rubbish. Please don't watch it. 1 out of 10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A big disappointment..
",,"And what a waste of talents. and my time. Yes, the movie does have some fancy camera work. But I consider David Fincher would be more successful to be a TV commercial producer than a movie director. From Seven to Fight Club, I don't see any growth in his filmmaking. Dark and grotesque as usual (or even more) but his movies absolutely has no emotional impact on me, excepts the unpleasant after taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Over-rated
",,"This is a set-piece for two of the finest contemporary actors in Norton and Pitt. Their performances as the narrator and Tyler Durden are superb, as any other review herein will show you. The cinematography is good, directing fine and the script at times good.However, I was disappointed with the movie as a whole. The actors are clearly leading up to a climax which was predictable, had you seen more movies of this thriller/drama/action genre. If you want a brilliant ending, watch Primal Fear (Norton excellent), if you want a suave and well written script watch Chasing Amy and for an action movie with brutal fight scenes Raging Bull. For a complete movie that will move you and not leave you feeling empty and short-changed then the superb American History X or Marathon Man may be more your scene.The plot and so on is probably heavily disclosed in the reviews contained before and after this, beware reading these may lead you to anticipate the easily predictable ""TWIST"".Disagree with me after seeing all of the suggested movies, I dare you, here is the list again: American History X, Chasing Amy, Marathon Man, Primal Fear and Raging Bull.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
